year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2005,tt0395584,The Devil&#39;s Rejects,ok,ok,PASS,7000000,17044981,20940428,2005PASS,8351232,20335227,24982624,2,2,0395584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,tt0404032,The Exorcism of Emily Rose,ok,ok,PASS,18000000,75072454,144587700,2005PASS,21474596,89563925,172497916,2,2,0404032,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.,PG-13,True,"English, Syriac, German, Greek, Hebrew, Latin, Aramaic",USA,"Paul Harris Boardman, Scott Derrickson",46,6.7,Scott Derrickson,09 Sep 2005,"Laura Linney, Tom Wilkinson, Campbell Scott, Jennifer Carpenter","Crime, Drama, Horror",3 wins & 7 nominations.,119 min,movie,http://ia.media-imdb.com/images/M/MV5BMTI2NTM5MjQ0Nl5BMl5BanBnXkFtZTcwNDAxNjAzMQ@@._V1_SX300.jpg,"71,575",NA
2005,tt0432291,The Fog,ok,ok,PASS,18000000,29511112,37048526,2005PASS,21474596,35207734,44200119,2,2,0432291,"The inhabitants of Antonio Island, off the coast of Oregon, are about to unveil a statue honoring the four men (Castle, Wayne, Williams and Malone) who founded their town in 1871. Nick ...",PG-13,True,English,USA,"Cooper Layne (screenplay), John Carpenter, Debra Hill",27,3.5,Rupert Wainwright,14 Oct 2005,"Tom Welling, Maggie Grace, Selma Blair, DeRay Davis",Horror,1 win.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQ4NzM3Njg0M15BMl5BanBnXkFtZTcwNzI1NDAzMQ@@._V1_SX300.jpg,"25,481",NA
2005,tt0371724,The Hitchhiker&#39;s Guide to the Galaxy,notalk-disagree,notalk,FAIL,45000000,51019112,104019112,2005FAIL,53686491,60867491,124098247,2,2,0371724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,tt0399201,The Island,ok,ok,PASS,120000000,35818913,163018913,2005PASS,143163975,42733150,194486964,2,2,0399201,"A man goes on the run after he discovers that he is actually a ""harvestable being"", and is being kept as a source of replacement parts, along with others, in a Utopian facility.",PG-13,True,English,USA,"Caspian Tredwell-Owen (screenplay), Alex Kurtzman (screenplay), Roberto Orci (screenplay), Caspian Tredwell-Owen (story)",50,6.9,Michael Bay,22 Jul 2005,"Ewan McGregor, Scarlett Johansson, Djimon Hounsou, Sean Bean","Action, Adventure, Sci-Fi",1 win & 3 nominations.,136 min,movie,http://ia.media-imdb.com/images/M/MV5BMTAwNjk0NjM1ODReQTJeQWpwZ15BbWU3MDc1NjIxMzM@._V1_SX300.jpg,"217,914",NA
2005,tt0366627,The Jacket,men,men,FAIL,28500000,6301131,15452978,2005FAIL,34001444,7517458,18435915,2,2,0366627,"A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a Doctor's experiments, and his life is completely affected by them.",R,True,English,"USA, Germany","Tom Bleecker (story), Marc Rocco (story), Massy Tadjedin (screenplay)",44,7.1,John Maybury,04 Mar 2005,"Adrien Brody, Keira Knightley, Kris Kristofferson, Jennifer Jason Leigh","Drama, Mystery, Sci-Fi",1 nomination.,103 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUyMjEwNjE4M15BMl5BanBnXkFtZTcwNzQ5MDgyMQ@@._V1_SX300.jpg,"77,119",NA
2005,tt0386140,The Legend of Zorro,notalk,notalk,FAIL,80000000,45575336,141475336,2005FAIL,95442650,54372886,168784763,2,2,0386140,"Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Alejandro de la Vega (Banderas) -- and his wife, Elena (Zeta-Jones) -- to take action.",PG,True,"Spanish, English",USA,"Roberto Orci (screenplay), Alex Kurtzman (screenplay), Roberto Orci (story), Alex Kurtzman (story), Ted Elliott (story), Terry Rossio (story), Johnston McCulley (character)",47,5.9,Martin Campbell,28 Oct 2005,"Alberto Reyes, Julio Oscar Mechoso, Gustavo Sánchez Parra, Adrian Alonso","Action, Adventure, Western",1 win & 3 nominations.,129 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUzNDU2NTY5M15BMl5BanBnXkFtZTcwNDM1OTYzMQ@@._V1_SX300.jpg,"53,636",NA
2005,tt0402399,The New World,dubious,dubious,FAIL,30000000,12712093,26184400,2005FAIL,35790994,15165948,31238857,2,2,0402399,"The story of the English exploration of Virginia, and of the changing world and loves of Pocahontas.",PG-13,True,"English, Algonquin","USA, UK",Terrence Malick,69,6.7,Terrence Malick,20 Jan 2006,"Colin Farrell, Q'orianka Kilcher, Christopher Plummer, Christian Bale","Biography, Drama, History",Nominated for 1 Oscar. Another 8 wins & 11 nominations.,135 min,movie,http://ia.media-imdb.com/images/M/MV5BMTk1MzE0NzA1MV5BMl5BanBnXkFtZTcwMDI4ODcyMQ@@._V1_SX300.jpg,"59,280",NA
2005,tt0377109,The Ring Two,ok,ok,PASS,50000000,75941727,161941727,2005PASS,59651656,90600996,193201845,2,2,0377109,"Six months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness.",PG-13,True,English,USA,"Ehren Kruger, Kôji Suzuki (novel), Hiroshi Takahashi",44,5.3,Hideo Nakata,18 Mar 2005,"Naomi Watts, Simon Baker, David Dorfman, Elizabeth Perkins","Horror, Mystery, Thriller",2 wins & 6 nominations.,110 min,movie,http://ia.media-imdb.com/images/M/MV5BMTY2ODc2NTQ2OF5BMl5BanBnXkFtZTYwNzA4OTU3._V1_SX300.jpg,"55,683",NA
2005,tt0397101,The Skeleton Key,ok,ok,PASS,40000000,47907715,92256918,2005PASS,47721325,57155491,110065560,2,2,0397101,A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,PG-13,True,"English, French","USA, Germany",Ehren Kruger,47,6.5,Iain Softley,12 Aug 2005,"Kate Hudson, Gena Rowlands, John Hurt, Peter Sarsgaard","Drama, Mystery, Thriller",4 nominations.,104 min,movie,http://ia.media-imdb.com/images/M/MV5BMTMxNDYzODE3NF5BMl5BanBnXkFtZTcwMDc1NDAzMQ@@._V1_SX300.jpg,"71,114",NA
